komentar;label;clean;;;;;;;
​ @Sp12er  org yg beli hp ini mah gw yakin 100% ga bakalan buat ngegame bang.😂;0;sp12er org yg beli hp mah gw yakin ga bakal buat ngegame bang joy;;;;;;;
Disslike; Pause vidio liat komen 😅😂;0;disslike pause vidio liat komen sweat smile joy;;;;;;
terimakasih upload bg ; sibuk𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;terimakasih upload bg sibukweton88;;;;;;
gak pusing mikirin biaya berobat kalo udah join alexis17 .;1;gak pusing mikirin biaya obat kalo udah join alexis17;;;;;;;
M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 tiap hari hoki terus; gue sampe bingung;1;mandalika77 tiap hari hoki terus gue sampe bingung;;;;;;
Crosstrek gimana kabar nya stelah crash .. ?;0;crosstrek gimana kabar nya stelah crash;;;;;;;
emang gak duanya sih alexis17 .;1;emang gak dua sih alexis17;;;;;;;
tau dapetin cuan gampang ? ya alexis17 !;1;tau dapetin cuan gampang alexis17;;;;;;;
Bismillah jadi direksi pertamina. Biar bisa beli ni hp;0;bismillah jadi direksi pertamina biar beli ni hp;;;;;;;
sangat keren;0;sangat keren;;;;;;;
akhir nya berhasil kebeli; vas bunga nya;0;akhir nya hasil kebel vas bunga nya;;;;;;
2tq(brio) dulu yg pernah ku kerjakan (2017)😊;0;2tq brio dulu yg pernah ku kerja blush;;;;;;;
Velg Jf luxsuryy the best walaupun gk di sebut;0;velg jf luxsuryy the best walaupun gk sebut;;;;;;;
gak skill marketing sukses alexis17 .;1;gak skill marketing sukses alexis17;;;;;;;
Apa beda hasil kerja vs nepotisme 🤭;0;apa beda hasil kerja vs nepotisme face with hand over mouth;;;;;;;
Tingal mobilnya farel🎉🎉;0;tingal mobil farel tada tada;;;;;;;
Gak nyangka bakal nemu tempat segokil 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.;1;gak nyangka bakal nemu tempat segokil pulauwin;;;;;;;
top markotop selalu hadir nonton mas dipo;0;top markotop selalu hadir nonton mas dipo;;;;;;;
orang bilang alexis17 tuh bener-bener ngebantu finansial .;1;orang bilang alexis17 tuh bener bener ngebantu finansial;;;;;;;
1:48:09 = Supersemar 😅;0;supersemar sweat smile;;;;;;;
bro 𝘼𝙇𝙀𝙓𝙄𝙎17 turnamen gede nih ; hadiahnya milyaran;1;bro alexis17 turnamen gede nih hadiah milyaran;;;;;;
Tambahin 2:28:18 anies gak bayar design gaun mas didit;0;tambahin anies gak bayar design gaun mas didit;;;;;;;
swert bonanja gacir parah ; wajib coba sih;1;swert bonanja gacir parah wajib coba sih;;;;;;
Bang review VIVO X 200 ULTRA; udah rilis itu... 🎉🎉🎉🎉;0;bang review vivo x ultra udah rilis tada tada tada tada;;;;;;
percaya nggak diga ru da-hoki gacor bgt boss;1;percaya diga ru da hoki gacor bgt boss;;;;;;;
emang gak se-jujur alexis17 deh .;1;emang gak se jujur alexis17 deh;;;;;;;
Wow saya sangat paham ye guys 😹😹😹😹;0;wow sangat paham ye guys joy cat joy cat joy cat joy cat;;;;;;;
alexis17 superrrrrr bosku gac0r melayang;1;alexis17 superrrrrr bos gac r layang;;;;;;;
Iya sama gw juga;0;iya sama gw;;;;;;;
A marwin raptor nyunda pisan euyy haha resep ieu ngadangu na 😂;0;a marwin raptor nyunda pis euyy haha resep ieu ngadangu na joy;;;;;;;
Kan ga ada lagi dwifungsi abri; iya kan???;0;kan ga dwifungsi abri iya kan;;;;;;
Slide FB naik turun naik turun kok isinya MANDALIKA77 semua... Penasaran cobain depo main bentar aja Ehhh...!!!! malah dapat MAXWINNN....!!!! :;1;slide fb naik turun naik turun kok isi mandalika77 semua penasaran cobain depo main bentar aja ehhh malah maxwinnn;;;;;;;
tim gercep alexis17 nih !;1;tim gercep alexis17 nih;;;;;;;
3 jam ngeyapping;0;jam ngeyapping;;;;;;;
Ga yakin dia paham apa yg diucapkan..ikutin teks doang kaya beo 🤪;0;ga yakin paham apa yg ucap ikutin teks doang kaya beo zany face;;;;;;;
Si milea apa kabar nya ko😊;0;si milea apa kabar nya ko blush;;;;;;;
Best so far;0;best so far;;;;;;;
Ada yg namanya gimmick dalam dunia kreator review;0;yg nama gimmick dunia kreator review;;;;;;;
santai kebo gua blum laku;0;santai kebo gua blum laku;;;;;;;
semangat bosqu ; terbaik 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;semangat bosqu baik weton88;;;;;;
Sudah nonton full mas;0;nonton full mas;;;;;;;
Hebat jurnalis gak ngantuk... 😂;0;hebat jurnalis gak ngantuk joy;;;;;;;
main situs segacor 𝐒𝐆𝐈𝟖𝟖 ; asli nagih sih;1;main situs segacor sgi88 asli nagih sih;;;;;;
3 jam yang ga berbobot. Kosong melompong.;0;jam ga bobot kosong melompong;;;;;;;
ꗥ𝙈𝘼𝙉𝙐𝙏88ꗥMimpi besar; berani gagal; bangkit lagi;1;hemanut88hemimpi besar berani gagal bangkit;;;;;
Ternyata ini jaecoo adik nya giant 😊;0;nyata jaecoo adik nya giant blush;;;;;;;
WAJIB COBA DI SINI BOS SUPER GACCOOORR YANG TERBARU;COBA PAKE SERVER THAILAND  SERVER LUAR YANG SAYA PAKE RTP NYA DI ATAS 98% TANPA HARUS BUY; PETIR x100 x250 x500 SUDAH PASTI KELUAR; GASSSS LANGSUNG; SEMOGA HOKINYA NULAR YA ABANG CARI GOOGLE M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳;1;wajib coba sini bos super gaccooorr baru coba pake server thailand server luar pake rtp nya atas buy petir x1 x25 x5 keluar gassss langsung moga hoki nular abang cari google mandalika77;;;
Ngomong yg penting;;;;;;;;;
Avanza gak ada harga diri di belakang Hummer 😅;0;avanza gak harga diri belakang hummer sweat smile;;;;;;;
coba 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ; gak ribet ! salam petir x 500;1;coba weton88 gak ribet salam petir x;;;;;;
Anjay mantep; di 💞𝘼LEXIS-17💞 bisa main SL🅞T sambil nge-Houdini.;1;anjay mantep revolving hearts alexis revolving hearts main slot nge houdini;;;;;;
Sukses mas wapres;0;sukses mas wapres;;;;;;;
grafiknya memukau ! game emang top . alexis17 setuju ?;1;grafik pukau game emang top alexis17 tuju;;;;;;;
Melihat huawei; apple rasanya jadi sangat tertinggal soal inovasi;0;lihat huawei apple rasa jadi sangat tinggal soal inovasi;;;;;;
Buatkan r34 lalu kirim ke sidrap pls:(;0;buat r34 lalu kirim sidrap pls;;;;;;;
18:30 Harusnya dah selesai lu ndjiiiiiiii;0;harus dah selesai lu ndjiiiiiiii;;;;;;;
gue sih udah ga move on alexis17 ; ; gacor bikin ketagihan;1;gue sih udah ga move on alexis17 gacor bikin tagih;;;;;
coba deh alexis17 dijamin makmur wkwk;1;coba deh alexis17 jamin makmur wkwk;;;;;;;
gue rela ninggalin hobi fokus alexis17 .;1;gue rela ninggalin hobi fokus alexis17;;;;;;;
Semua mau di handle mumpung jiwa muda .... Wkwwkkw;0;semua mau handle mumpung jiwa muda wkwwkkw;;;;;;;
Pasti di kira suaminya irish bella om jeje 😅;0;kira suami irish bella om jeje sweat smile;;;;;;;
Kelass mas dip;0;kelass mas dip;;;;;;;
sebulan main alexis17 ; gue udah dp mobil mewah !;1;bulan main alexis17 gue udah dp mobil mewah;;;;;;
Berani nya bicara sendiri; dialog dong mas samsul;0;berani nya bicara sendiri dialog dong mas samsul;;;;;;
SERU BANGET NIH EPISODE!;0;seru banget nih episode;;;;;;;
rezeki 𝐴 𝙀 𝐑 𝑂 𝟪 𝟴-bikin hariku bermakna ; terima kasih !;1;rezeki aero8 bikin hari makna terima kasih;;;;;;
"tinggal ganti kaki""jadi mobil relly";0;tinggal ganti kaki jadi mobil relly;;;;;;;
aja gw coba alexis17 semalam ; lumayan dpt 2jt;1;aja gw coba alexis17 malam lumayan dpt 2jt;;;;;;
Tim ga pernah skip kalo ada pak hok 😂🖐;0;tim ga pernah skip kalo pak hok joy hand splayed;;;;;;;
𝘋𝐄𝘞𝐀𝐃O𝐑𝘈 mekswin ga ada lawan;1;dewadora mekswin ga lawan;;;;;;;
pawpaw4d coba keberuntungan .;1;pawpaw4d coba untung;;;;;;;
ga ruda ho ki-gokil banget pecah ga sia sia anjaay;1;ga ruda ho ki gokil banget pecah ga sia sia anjaay;;;;;;;
mak banteng lebih percaya puan - ahok;0;mak banteng lebih percaya puan ahok;;;;;;;
seminggu join alexis17 ; gue udah beliin ortu tiket umroh !;1;minggu join alexis17 gue udah beliin ortu tiket umroh;;;;;;
Masaallah inovasi terus...;0;masaallah inovasi terus;;;;;;;
Lagi otw buat beli;0;otw buat beli;;;;;;;
Hahahahhah😅😅😅;0;hahahahhah sweat smile sweat smile sweat smile;;;;;;;
Males banget ngeliatnya;0;males banget ngeliatnya;;;;;;;
Keren banget! Menang banyak di 𝐒𝐆𝐈𝟖𝟖;auto liburan mewah!;1;keren banget menang banyak sgi88 auto libur mewah;;;;;;
2:25 Itu kalau salah satu baterai habis; apakah layarnya mati??;0;kalau salah satu baterai habis layar mati;;;;;;
Emg udah keluar dari autonetmagz ?;0;emg udah keluar autonetmagz;;;;;;;
Infoin brp dislike nya 😊;0;infoin brp dislike nya blush;;;;;;;
proses nya cpt bgt gile alexis17;1;proses nya cpt bgt gile alexis17;;;;;;;
Dasar buzzer bayaran 😂;0;dasar buzzer bayar joy;;;;;;;
jepey 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ; beneran !;1;jepey weton88 beneran;;;;;;
keren gitu oi;0;keren gitu oi;;;;;;;
gak pusing mikirin biaya persalinan kalo udah join alexis17 .;1;gak pusing mikirin biaya salin kalo udah join alexis17;;;;;;;
editing 💥💥💥💥💥;0;editing boom boom boom boom boom;;;;;;;
Murah banget;0;murah banget;;;;;;;
Nonton dengan kecepatan 1.25x lebih baik;0;nonton cepat 25x lebih baik;;;;;;;
Bocah gk penting 🗿🗿;0;bocah gk penting moyai moyai;;;;;;;
Terdesak; emosiii emosiii kwkwkw;0;desak emosiii emosiii kwkwkw;;;;;;
Oke anda dapat like dan komen..;0;oke like komen;;;;;;;
king Ahok is back 🔥;0;king ahok is back fire;;;;;;;
seru nich 𝐒𝐆𝐈𝟖𝟖 cair;1;seru nich sgi88 cair;;;;;;;
Kdm mahfud jika di pasangkan jadi paketan komplit menurut qu😍😍;0;kdm mahfud pasang jadi paket komplit qu heart eyes heart eyes;;;;;;;
𝘿𝙊𝑅𝐴𝟩𝟩 bener-𝙗ener g𝐚cor;1;dora77 bener bener gacor;;;;;;;
Selalu seru kalo ngobrol sama Pak Ahok;0;selalu seru kalo ngobrol sama pak ahok;;;;;;;
koyo ngene iki presiden pilihanmu;0;koyo ngene iki presiden pilih;;;;;;;
abis baca review 𝐒𝐆𝐈𝟖𝟖 .;1;abis baca review sgi88;;;;;;;
berkembang arhan semangattt ! ! ! ! ! salam 𝗦𝗚𝗜𝟴𝟴 ! gampang jepe;1;kembang arhan semangattt salam sgi88 gampang jepe;;;;;;;
Emang gak ada yang bisa ngalahin serunya ALEXIS⭐17⭐.;1;emang gak ngalahin seru alexis star star;;;;;;;
Sambut hari dengan antusias di ＭΛＮDALIKΛ𝟟𝟟;1;sambut hari antusias mlndalikl77;;;;;;;
cuman 𝘼𝙇𝙀𝙓𝙄𝙎17 bikin nagih ! .;1;cuman alexis17 bikin nagih;;;;;;;
Kwkwk anyingg;0;kwkwk anyingg;;;;;;;
di akhir vidio ada nomornya mas;0;akhir vidio nomor mas;;;;;;;
Wede cepet banget; sketer terus-terusan;1;wede cepet banget sketer terus terus;;;;;;
Game-nya gacir; tiap maen pasti jepe;1;game nya gacir tiap maen jepe;;;;;;
gak pusing mikirin cicilan kalo udah join alexis17 .;1;gak pusing mikirin cicil kalo udah join alexis17;;;;;;;
Yang komentar udah kayak paling pinter sedunia ajaa;0;komentar udah kayak paling pinter dunia ajaa;;;;;;;
terima kasih sarannya; baru engeh;0;terima kasih saran baru engeh;;;;;;
Luar biasa! bang video kamu !! ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 terpercaya 5k jadi 1jt;1;luar biasa bang video kamu star weton88 percaya 5k jadi 1jt;;;;;;;
Punya farell mna yaa blm jadii😂;0;punya farell mna yaa blm jadi joy;;;;;;;
Lah dia ngegas😂 ga ada yg ga mungkin di politik bang​ @lockysigarlaki163 ;0;lah ngegas joy ga yg ga mungkin politik bang lockysigarlaki163;;;;;;;
Sok langsung aja 🔥;0;sok langsung aja fire;;;;;;;
yo apik iki ; hasil e bikin seneng;1;yo apik iki hasil e bikin neng;;;;;;
sumpah ; serius nanya ; 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?;1;sumpah serius nanya alexis17 beneran bagus;;;;;
Cuma di sini; Gak nyangka bisa menang terus di 🔥⚡ALEXIS17⚡?🔥;1;cuma sini gak nyangka menang terus fire zap alexis17 zap fire;;;;;;
Ga nyangka utang bisa lunas maen di 𝐴G𝐔𝘚𝐓𝐎𝙏O; gokil banget;1;ga nyangka utang lunas maen agustoto gokil banget;;;;;;
jadi serasa nonton 58 yaaaaaa?;0;jadi serasa nonton yaaaaaa;;;;;;;
bokek ? langsung aja main alexis17 .;1;bokek langsung aja main alexis17;;;;;;;
sepertinya lagi ada ikatan sama yamaha;0;seperti ikat sama yamaha;;;;;;;
Rezeki hari ini datang 0:43 terus dari ＭΛＮDALIKΛ𝟟𝟟;senang banget rasanya!;1;rezeki hari datang terus mlndalikl77 senang banget rasa;;;;;;
@AnggoroDps_9  ga ada bang; saya cuma warga sipil;0;anggorodps 9 ga bang cuma warga sipil;;;;;;
Gw baru aja liat speed review ini😂;0;gw baru aja liat speed review joy;;;;;;;
gak khawatir tua kalo udah gabung alexis17 .;1;gak khawatir tua kalo udah gabung alexis17;;;;;;;
Skip; Anies cara kerjanya diluar prediksi BMKG wkwkwk;0;skip anies cara kerja luar prediksi bmkg wkwkwk;;;;;;
Kapan wapres ini dipecat ;?;0;kapan wapres pecat;;;;;;
Halahhhhhhhhhhhh;0;halahhhhhhhhhhhh;;;;;;;
temen gue bilang alexis17 tuh game changer !;1;temen gue bilang alexis17 tuh game changer;;;;;;;
Ya Tuhan; mimpi apa Indonesia..;0;tuhan mimpi apa indonesia;;;;;;
Sans 790an yang ngelike; sisanya 2;7 dislike😂;0;sans 79 an ngelike sisa dislike joy;;;;;
alexis17 ; bikin gue beli rumah cash 3 ; modal 200rb;1;alexis17 bikin gue beli rumah cash modal 2 rb;;;;;
gak cocok di saya bang malah bikin emosi😂;0;gak cocok bang malah bikin emosi joy;;;;;;;
Tidak menjawab apa²;0;jawab apa2;;;;;;;
Jadilah versi terbaik dari dirimu sendiri✪𝗠𝗮𝗻𝘂𝘁𝟴𝟴✪mendoakanmu.;1;jadi versi baik diri sendiri manut88 doa;;;;;;;
yaps; kalo gasalah lbwk rx7 armuh itu 2/2;0;yaps kalo gasalah lbwk rx7 armuh;;;;;;
10:32 LBWK jelasss😋;0;lbwk jelasss yum;;;;;;;
Buset ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 ternyata semudah itu yah.;1;buset star alexis17 nyata mudah yah;;;;;;;
kalo gabut ; 𝘼𝙇𝙀𝙓𝙄𝙎17 juaranya .;1;kalo gabut alexis17 juara;;;;;;
Saya jg nyari; ko g ada;0;jg nyari ko g;;;;;;
Yg ini baru boleh disebut komen; bukan caci maki.;0;yg baru sebut komen bukan caci maki;;;;;;
Kapan lagi main di situs segacor 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓; asli nagih sih;1;kapan main situs segacor probet855 asli nagih sih;;;;;;
temen gue sampe bilang hidupnya berubah kenal pulauwin ; ya ?;1;temen gue sampe bilang hidup ubah kenal pulauwin;;;;;;
​@gretamarielleni No garantee;0;gretamarielleni no garantee;;;;;;;
seminggu main alexis17 ; gue udah bayar cicilan rumah !;1;minggu main alexis17 gue udah bayar cicil rumah;;;;;;
Saya ngomongin AI doang;0;ngomongin ai doang;;;;;;;
auto aman ; skete​r​ se​r​ing nongol;1;auto aman sketer sering nongol;;;;;;
Lexus gada ya skarang;0;lexus gada skarang;;;;;;;
tumben mau pake mesin teknologi kuno OHV;0;tumben mau pake mesin teknologi kuno ohv;;;;;;;
geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 cair x100;1;geloo weton88 cair x1;;;;;;;
gue sih udah ga move on alexis17 ! ; gacor bikin nagih;1;gue sih udah ga move on alexis17 gacor bikin nagih;;;;;;
lebih menarik komentar netizen dari pada video;0;lebih tarik komentar netizen video;;;;;;;
kenal alexis17 ; gue koneksi bisnis .;1;kenal alexis17 gue koneksi bisnis;;;;;;
Log in dulu dong;0;log in dulu dong;;;;;;;
Sedih mendengar jawabn beliau..mempermalukan diri sendiri;0;sedih dengar jawabn beliau malu diri sendiri;;;;;;;
Anjay keren; di 💞𝘼LEXIS-17💞 bisa main slot sambil traveling.;1;anjay keren revolving hearts alexis revolving hearts main slot traveling;;;;;;
Pbrikan mobil china yg besar apa aja...?;0;pbrikan mobil china yg besar apa aja;;;;;;;
dari komentar2 saya percaya pak probowo gak punya buzzer;0;komentar2 percaya pak probowo gak punya buzzer;;;;;;;
Vibe ni mobil mendiang Kenblock bgt😢😢;0;vibe ni mobil mendiang kenblock bgt cry cry;;;;;;;
Bagaimana cara meludah online ??;0;bagaimana cara ludah online;;;;;;;
sound nya gedein bang ; hedset an naik motor ga kedengeran;0;sound nya gedein bang hedset an naik motor ga kedengeran;;;;;;
ALEXIS-17☯ tuh emang udah jadi penghasilan utama gua sekarang;1;alexis yin tuh emang udah jadi hasil utama gua sekarang;;;;;;;
gue sih ga nyesel gabung alexis17 ! ; nyesel telat gabung;1;gue sih ga nyesel gabung alexis17 nyesel telat gabung;;;;;;
Mending GIBRAN SILVESTER 2029;0;mending gibran silvester;;;;;;;
Mobil ini terasa siap menghantam para pembalap liar🔥🔥🔥🔥🔥🔥;0;mobil asa siap hantam balap liar fire fire fire fire fire fire;;;;;;;
Pak Ahok paling terang benderang ❤❤❤;0;pak ahok paling terang benderang heart heart heart;;;;;;;
Yg dis like kok gak kelihatan jumlah nya?;0;yg dis like kok gak lihat jumlah nya;;;;;;;
Efektif gak sih laporin akun2 yg spam judol; capek sendiri gua;0;efektif gak sih laporin akun2 yg spam judol capek sendiri gua;;;;;;
hahaha setujuuuu;0;hahaha setujuuuu;;;;;;;
capek bgt nemuin alexis17 trs;1;capek bgt nemuin alexis17 trs;;;;;;;
saya nunggu uu prmpasan aset koruptor;0;nunggu uu prmpasan aset koruptor;;;;;;;
cuan tuh mitos ; buktinya pu lau tujuh tujuh tujuh !;1;cuan tuh mitos bukti pu lau tujuh tujuh tujuh;;;;;;
tebak '' buah manggis kali;0;tebak buah manggis kali;;;;;;;
penuh berkah kebahagiaan berkat 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 ; rezeki menghampiri permisi !;1;penuh berkah bahagia berkat suhu328 rezeki hampir permisi;;;;;;
𝗪𝗘𝗧𝗢𝗡𝟴𝟴 maen santai aja ; tetep wedey jutaan;1;weton88 maen santai aja tetep wedey juta;;;;;;
modal mini langsung jepe mantap;1;modal mini langsung jepe mantap;;;;;;;
sih ya alexis17 bocor;1;sih alexis17 bocor;;;;;;;
AHOOKKK CINTAAKUUUU❤❤❤❤;0;ahookkk cintaakuuuu heart heart heart heart;;;;;;;
Kerennn contentnya bang ;cari situs yang benar itu 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;kerennn contentnya bang cari situs benar weton88;;;;;;
Terimakasih udah sadar; sekarang buka matam;0;terimakasih udah sadar sekarang buka matam;;;;;;
main cerdas 𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 ; hasilnya berbicara;1;main cerdas pluto88 hasil bicara;;;;;;
"Jawabnya ""YNTKTS""...";0;jawab yntkts;;;;;;;
sedikit bicara banyak isi ❌;;;;;;;;;
​@rizqiartsklo dulu jual-beli mobil kecil sekarang merambah ke bus udah kyk SubJay😂;0;rizqiartsklo dulu jual beli mobil kecil sekarang rambah bus udah kyk subjay joy;;;;;;;
Segitu levelnya ya ges yak; siap siap;0;segitu level ges yak siap siap;;;;;;
Panji udah diajarin sama Queen Irene masih lengah aja wkwkwkwk;0;panji udah diajarin sama queen irene lengah aja wkwkwkwk;;;;;;;
Sudah mulai pada pinter ye;0;mulai pinter ye;;;;;;;
2:25 langsung 𝐒𝐆𝐈𝟖𝟖 bang;1;langsung sgi88 bang;;;;;;;
alexis17 ! emang ga duanya ; pelayanan vip member seumur hidup;1;alexis17 emang ga dua layan vip member umur hidup;;;;;;
13:51 Anak macan numpang lewat..;0;anak macan numpang lewat;;;;;;;
Bagian mana?;0;bagi mana;;;;;;;
rezeki melimpah alexis'17 ; makasih !;1;rezeki limpah alexis makasih;;;;;;
​ @adeirmasari3775 walaupun katanya hanya sekolah SMP ya mas;0;adeirmasari3775 walaupun kata sekolah smp mas;;;;;;;
Pasti muak editor nya😂;0;muak editor nya joy;;;;;;;
Mobil nya papah racing team wajar aja pol abis;0;mobil nya papah racing team wajar aja pol abis;;;;;;;
Elegan; warna cerah; beeeuh kelasss;0;elegan warna cerah beeeuh kelasss;;;;;
𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 emang beda ; main langsung menang gede;1;pluto88 emang beda main langsung menang gede;;;;;;
​ @asyariiiii WTF dedi mulyadi??? 😂😂😂😂;0;asyariiiii wtf dedi mulyadi joy joy joy joy;;;;;;;
hadirr bos;0;hadirr bos;;;;;;;
temen gue bilang alexis17 tuh game changer !;1;temen gue bilang alexis17 tuh game changer;;;;;;;
Jumlah dislike nya disembunyiin yaaahhhhh;0;jumlah dislike nya disembunyiin yaaahhhhh;;;;;;;
Mods rata kanan masih butuh endors?;0;mods rata kanan butuh endors;;;;;;;
Cieee yang pada nungguin costrak 😂;0;cieee nungguin costrak joy;;;;;;;
Keren euyy mandalika77;1;keren euyy mandalika77;;;;;;;
emang gak obatnya sih keseruan main alexis17 .;1;emang gak obat sih seru main alexis17;;;;;;;
tajem2 banget;0;tajem2 banget;;;;;;;
Mobilnya keren yang reviuw berkelas ilmunya keren mas sukses terus 👍;0;mobil keren reviuw kelas ilmu keren mas sukses terus thumbsup;;;;;;;
orang bilang alexis17 tuh bener-bener dipercaya !;1;orang bilang alexis17 tuh bener bener percaya;;;;;;;
Kecuali Bu mega;0;bu mega;;;;;;;
@ They don't get paid enough or not smart enough; easy;0;they don t get paid enough or not smart enough easy;;;;;;
 @JokoJMC  sblm wawancara nyimeng dlu kali;0;jokojmc sblm wawancara nyimeng dlu kali;;;;;;;
Koplaaaakkk 😂;0;koplaaaakkk joy;;;;;;;
konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;konten keren banget jelas main bagus bang weton88;;;;;;;
terima kasi rezekinya 𝐒𝐆𝐈𝟖𝟖;1;terima kasi rezeki sgi88;;;;;;;
Salah milih presiden;0;salah milih presiden;;;;;;;
Bener wkwkwk males dengerin presiden ngang ngong;0;bener wkwkwk males dengerin presiden ngang ngong;;;;;;;
gw main di mandalika77 sampe bikin 3 akun kirain bakal rungkad salah satu; eh wd mulu wkkwkwk;1;gw main mandalika77 sampe bikin akun kirain bakal rungkad salah satu eh wd mulu wkkwkwk;;;;;;
Itu aja maen slow.. baru opening 3 langkah 😂;0;aja maen slow baru opening langkah joy;;;;;;;
Keren omkuu;0;keren omkuu;;;;;;;
aowkwkwk kocak;0;aowkwkwk kocak;;;;;;;
 @GinahGinah-l2n oh iya ya🫣;0;ginahginah l2n iya face with peeking eye;;;;;;;
9:11 bang jam segitu menang w 𝐒𝐆𝐈𝟖𝟖;1;bang jam segitu menang w sgi88;;;;;;;
BYD; Geely; Chery; ChangAn;0;byd geely chery changan;;;;
serius deh ̠ 𝑨𝑳𝑬𝑿𝑰𝑺17 】 bener gacor ! .;1;serius deh alexis17 bener gacor;;;;;;;
gak gagal ; weton88;1;gak gagal weton88;;;;;;
Berpendidikan pintar; tegas; berani  cocok ni jd wapres;0;didik pintar tegas berani cocok ni jd wapres;;;;;
